data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2025-02-10,150 RUE GAL BUAT,44000.0,butas,107.0,6.0,0,420000.0,3925.0,1135.0,47.227008,-1.543058,44109000EV0219
2021-04-06,36 RUE GAL BUAT,44000.0,butas,45.0,2.0,0,137000.0,3044.0,1136.0,47.232618,-1.537994,44109000BY0261
2021-08-23,10 AV DES DANOIS,44300.0,namas,192.0,7.0,1,890000.0,4635.0,1136.0,47.232885,-1.519336,44109000BE0300
2022-09-12,3 RUE DE HAMBOURG,44000.0,butas,67.0,3.0,1,168314.0,2512.0,1136.0,47.214606,-1.526932,44109000CP0516
2023-04-27,74 RUE DE LA MARRIERE,44300.0,namas,94.0,4.0,0,400000.0,4255.0,1136.0,47.234953,-1.52791,44109000BC0680
2023-09-15,3 RUE DE HAMBOURG,44000.0,butas,70.0,3.0,1,193000.0,2757.0,1136.0,47.214606,-1.526932,44109000CP0516
2023-12-01,36 RUE GAL BUAT,44000.0,butas,59.0,3.0,2,150000.0,2542.0,1136.0,47.232618,-1.537994,44109000BY0261
2021-01-20,3 ALL MATHIAS SANDORF,44300.0,namas,94.0,4.0,0,396500.0,4218.0,1136.0,47.234953,-1.52791,44109000BC0680
2021-03-08,10 ALL MATHIAS SANDORF,44300.0,namas,78.0,3.0,0,359000.0,4603.0,1136.0,47.234953,-1.52791,44109000BC0680
2024-06-20,36 RUE GAL BUAT,44000.0,butas,28.0,1.0,2,78000.0,2786.0,1136.0,47.232618,-1.537994,44109000BY0261
2025-12-17,58 RUE DE LA MARRIERE,44300.0,namas,94.0,4.0,0,285000.0,3032.0,1136.0,47.234953,-1.52791,44109000BC0680
2022-11-03,36 RUE GAL BUAT,44000.0,butas,45.0,2.0,2,155000.0,3444.0,1136.0,47.232618,-1.537994,44109000BY0261
2021-08-19,36 RUE GAL BUAT,44000.0,butas,68.0,3.0,2,183000.0,2691.0,1136.0,47.232618,-1.537994,44109000BY0261
2021-05-25,36 RUE GAL BUAT,44000.0,butas,41.0,2.0,1,105000.0,2561.0,1136.0,47.232618,-1.537994,44109000BY0261
2023-04-07,36 RUE GAL BUAT,44000.0,butas,37.0,2.0,1,160000.0,4324.0,1136.0,47.232618,-1.537994,44109000BY0261
2024-10-01,36 RUE GAL BUAT,44000.0,butas,62.0,3.0,2,125000.0,2016.0,1136.0,47.232618,-1.537994,44109000BY0261
2024-03-22,3 PL DES ENFANTS NANTAIS,44000.0,butas,112.0,5.0,2,500000.0,4464.0,1137.0,47.228494,-1.542419,44109000BZ0688
2023-06-01,3 PL DES ENFANTS NANTAIS,44000.0,butas,112.0,5.0,2,585000.0,5223.0,1137.0,47.228494,-1.542419,44109000BZ0688
